methodology,scenario_key,scenario_name,matrix_file,curve_file,q_file,anchor_file,sdb_file,matrix_path,curve_path,q_path,anchor_path,sdb_path,matrix_mtime,curve_mtime
original,worst_west_africa,Worst_WestAfrica,west_africa_partial_pool_normalisedQ_estimated_bounds_tweaked_ufc_bp_input_matrix.csv,west_africa_partial_pool_normalisedQ_estimated_bounds_tweaked_ufc_curve_summaries.csv,west_africa_partial_pool_normalisedQ_estimated_bounds_tweaked_ufc_Q_summaries.csv,west_africa_partial_pool_normalisedQ_estimated_bounds_tweaked_ufc_anchor_rows_used.csv,NA,C:/Users/jnstapley/Documents/Efficacy_curves/west_africa_partial_pool_normalisedQ_estimated_bounds_tweaked_ufc_bp_input_matrix.csv,C:/Users/jnstapley/Documents/Efficacy_curves/west_africa_partial_pool_normalisedQ_estimated_bounds_tweaked_ufc_curve_summaries.csv,C:/Users/jnstapley/Documents/Efficacy_curves/west_africa_partial_pool_normalisedQ_estimated_bounds_tweaked_ufc_Q_summaries.csv,C:/Users/jnstapley/Documents/Efficacy_curves/west_africa_partial_pool_normalisedQ_estimated_bounds_tweaked_ufc_anchor_rows_used.csv,NA,1780521505.55031,1780521505.4223
original,best_east_africa,Best_Composite_EastAfrica,best_composite_partial_pool_normalisedQ_estimated_bounds_tuned_bp_input_matrix.csv,best_composite_partial_pool_normalisedQ_estimated_bounds_tuned_curve_summaries.csv,best_composite_partial_pool_normalisedQ_estimated_bounds_tuned_Q_summaries.csv,best_composite_partial_pool_normalisedQ_estimated_bounds_tuned_anchor_rows_used.csv,NA,C:/Users/jnstapley/Documents/Efficacy_curves/best_composite_partial_pool_normalisedQ_estimated_bounds_tuned_bp_input_matrix.csv,C:/Users/jnstapley/Documents/Efficacy_curves/best_composite_partial_pool_normalisedQ_estimated_bounds_tuned_curve_summaries.csv,C:/Users/jnstapley/Documents/Efficacy_curves/best_composite_partial_pool_normalisedQ_estimated_bounds_tuned_Q_summaries.csv,C:/Users/jnstapley/Documents/Efficacy_curves/best_composite_partial_pool_normalisedQ_estimated_bounds_tuned_anchor_rows_used.csv,NA,1780521571.22842,1780521571.14812
original,middle_drc_conflict,Middle_DRC_ConflictSmoothed,drc_conflict_warsame_weekly_Q_relative_absolute_UFC_rolling4_sparse_greydots_bp_input_matrix.csv,drc_conflict_warsame_weekly_Q_relative_absolute_UFC_rolling4_sparse_greydots_curve_summaries.csv,drc_conflict_warsame_weekly_Q_relative_absolute_UFC_rolling4_sparse_greydots_Q_summaries.csv,drc_conflict_warsame_weekly_Q_relative_absolute_UFC_rolling4_sparse_greydots_anchor_rows_used.csv,drc_conflict_warsame_weekly_Q_relative_absolute_UFC_rolling4_sparse_greydots_averaged_conflict_binned_sdb_success.csv,C:/Users/jnstapley/Documents/Efficacy_curves/drc_conflict_warsame_weekly_Q_relative_absolute_UFC_rolling4_sparse_greydots_bp_input_matrix.csv,C:/Users/jnstapley/Documents/Efficacy_curves/drc_conflict_warsame_weekly_Q_relative_absolute_UFC_rolling4_sparse_greydots_curve_summaries.csv,C:/Users/jnstapley/Documents/Efficacy_curves/drc_conflict_warsame_weekly_Q_relative_absolute_UFC_rolling4_sparse_greydots_Q_summaries.csv,C:/Users/jnstapley/Documents/Efficacy_curves/drc_conflict_warsame_weekly_Q_relative_absolute_UFC_rolling4_sparse_greydots_anchor_rows_used.csv,C:/Users/jnstapley/Documents/Efficacy_curves/drc_conflict_warsame_weekly_Q_relative_absolute_UFC_rolling4_sparse_greydots_averaged_conflict_binned_sdb_success.csv,1780521654.02367,1780521653.83183
original,middle_drc_no_conflict,Middle_DRC_NoConflict,drc_non_conflict_warsame_only_Q_minus_conflict_time_original_plateau_bp_input_matrix.csv,drc_non_conflict_warsame_only_Q_minus_conflict_time_original_plateau_curve_summaries.csv,drc_non_conflict_warsame_only_Q_minus_conflict_time_original_plateau_Q_summaries.csv,drc_non_conflict_warsame_only_Q_minus_conflict_time_original_plateau_anchor_rows_used.csv,drc_non_conflict_warsame_only_Q_minus_conflict_time_original_plateau_averaged_no_conflict_binned_sdb_success.csv,C:/Users/jnstapley/Documents/Efficacy_curves/drc_non_conflict_warsame_only_Q_minus_conflict_time_original_plateau_bp_input_matrix.csv,C:/Users/jnstapley/Documents/Efficacy_curves/drc_non_conflict_warsame_only_Q_minus_conflict_time_original_plateau_curve_summaries.csv,C:/Users/jnstapley/Documents/Efficacy_curves/drc_non_conflict_warsame_only_Q_minus_conflict_time_original_plateau_Q_summaries.csv,C:/Users/jnstapley/Documents/Efficacy_curves/drc_non_conflict_warsame_only_Q_minus_conflict_time_original_plateau_anchor_rows_used.csv,C:/Users/jnstapley/Documents/Efficacy_curves/drc_non_conflict_warsame_only_Q_minus_conflict_time_original_plateau_averaged_no_conflict_binned_sdb_success.csv,1780521730.09345,1780521729.91988
original,middle_drc_conflict_plusplus,Middle_DRC_ConflictSmoothed_PlusPlus,drc_conflict_plusplus_original_method_directCollapse_bp_input_matrix.csv,drc_conflict_plusplus_original_method_directCollapse_curve_summaries.csv,drc_conflict_plusplus_original_method_directCollapse_Q_summaries.csv,drc_conflict_plusplus_original_method_directCollapse_anchor_rows_used.csv,drc_conflict_plusplus_original_method_directCollapse_averaged_conflict_binned_sdb_success.csv,C:/Users/jnstapley/Documents/Efficacy_curves/drc_conflict_plusplus_original_method_directCollapse_bp_input_matrix.csv,C:/Users/jnstapley/Documents/Efficacy_curves/drc_conflict_plusplus_original_method_directCollapse_curve_summaries.csv,C:/Users/jnstapley/Documents/Efficacy_curves/drc_conflict_plusplus_original_method_directCollapse_Q_summaries.csv,C:/Users/jnstapley/Documents/Efficacy_curves/drc_conflict_plusplus_original_method_directCollapse_anchor_rows_used.csv,C:/Users/jnstapley/Documents/Efficacy_curves/drc_conflict_plusplus_original_method_directCollapse_averaged_conflict_binned_sdb_success.csv,1780521841.96052,1780521841.70877
original,worst_west_africa_conflict,Worst_WestAfrica_Conflict,west_africa_with_conflict_extended_DRC_Q_modulated_bp_input_matrix.csv,west_africa_with_conflict_extended_DRC_Q_modulated_curve_summaries.csv,west_africa_with_conflict_extended_DRC_Q_modulated_Q_summaries.csv,NA,NA,C:/Users/jnstapley/Documents/Efficacy_curves/west_africa_with_conflict_extended_DRC_Q_modulated_bp_input_matrix.csv,C:/Users/jnstapley/Documents/Efficacy_curves/west_africa_with_conflict_extended_DRC_Q_modulated_curve_summaries.csv,C:/Users/jnstapley/Documents/Efficacy_curves/west_africa_with_conflict_extended_DRC_Q_modulated_Q_summaries.csv,NA,NA,1780521843.92031,1780521843.90457
original,worst_west_africa_conflict_plusplus,Worst_WestAfrica_Conflict_PlusPlus,west_africa_conflict_plusplus_original_method_directCollapse_bp_input_matrix.csv,west_africa_conflict_plusplus_original_method_directCollapse_curve_summaries.csv,west_africa_conflict_plusplus_original_method_directCollapse_Q_summaries.csv,NA,NA,C:/Users/jnstapley/Documents/Efficacy_curves/west_africa_conflict_plusplus_original_method_directCollapse_bp_input_matrix.csv,C:/Users/jnstapley/Documents/Efficacy_curves/west_africa_conflict_plusplus_original_method_directCollapse_curve_summaries.csv,C:/Users/jnstapley/Documents/Efficacy_curves/west_africa_conflict_plusplus_original_method_directCollapse_Q_summaries.csv,NA,NA,1780521845.84065,1780521845.80729
revised,worst_west_africa,Worst_WestAfrica,worst_west_africa_endpoint_constrained_zero_plateau_matrix.csv,worst_west_africa_endpoint_constrained_zero_plateau_curve_summaries.csv,worst_west_africa_endpoint_constrained_zero_plateau_Q_summaries.csv,worst_west_africa_endpoint_constrained_zero_plateau_anchor_table_used.csv,NA,C:/Users/jnstapley/Documents/Efficacy_curves/worst_west_africa_endpoint_constrained_zero_plateau_matrix.csv,C:/Users/jnstapley/Documents/Efficacy_curves/worst_west_africa_endpoint_constrained_zero_plateau_curve_summaries.csv,C:/Users/jnstapley/Documents/Efficacy_curves/worst_west_africa_endpoint_constrained_zero_plateau_Q_summaries.csv,C:/Users/jnstapley/Documents/Efficacy_curves/worst_west_africa_endpoint_constrained_zero_plateau_anchor_table_used.csv,NA,1780521902.57416,1780521902.44727
revised,best_east_africa,Best_Composite_EastAfrica,best_east_africa_endpoint_constrained_zero_plateau_matrix.csv,best_east_africa_endpoint_constrained_zero_plateau_curve_summaries.csv,best_east_africa_endpoint_constrained_zero_plateau_Q_summaries.csv,best_east_africa_endpoint_constrained_zero_plateau_anchor_table_used.csv,NA,C:/Users/jnstapley/Documents/Efficacy_curves/best_east_africa_endpoint_constrained_zero_plateau_matrix.csv,C:/Users/jnstapley/Documents/Efficacy_curves/best_east_africa_endpoint_constrained_zero_plateau_curve_summaries.csv,C:/Users/jnstapley/Documents/Efficacy_curves/best_east_africa_endpoint_constrained_zero_plateau_Q_summaries.csv,C:/Users/jnstapley/Documents/Efficacy_curves/best_east_africa_endpoint_constrained_zero_plateau_anchor_table_used.csv,NA,1780521961.38255,1780521961.2706
revised,middle_drc_no_conflict,Middle_DRC_NoConflict,drc_no_conflict_endpoint_constrained_zero_plateau_matrix.csv,drc_no_conflict_endpoint_constrained_zero_plateau_curve_summaries.csv,drc_no_conflict_endpoint_constrained_zero_plateau_Q_summaries.csv,drc_no_conflict_endpoint_constrained_zero_plateau_anchor_table_used.csv,NA,C:/Users/jnstapley/Documents/Efficacy_curves/drc_no_conflict_endpoint_constrained_zero_plateau_matrix.csv,C:/Users/jnstapley/Documents/Efficacy_curves/drc_no_conflict_endpoint_constrained_zero_plateau_curve_summaries.csv,C:/Users/jnstapley/Documents/Efficacy_curves/drc_no_conflict_endpoint_constrained_zero_plateau_Q_summaries.csv,C:/Users/jnstapley/Documents/Efficacy_curves/drc_no_conflict_endpoint_constrained_zero_plateau_anchor_table_used.csv,NA,1780522018.153,1780522018.02625
